_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e9b7bbdaf4e101ebe9847d",111764,112783,189.0,135.0,18,481706,111758,481706,"StoreItem","HewnLogItem",111758,"1506,71,1582",11.0,197166
"67e9b7cfdaf4e101ebe985ac",487531,112783,9.0,18.0,19,464974,464974,487523,"StoreItem","PapayaItem",487523,"1398,73,576",2.0,195089
"67e9b7d5daf4e101ebe98609",357843,112783,12.0,120.0,19,485957,485957,357835,"StoreItem","LimestoneItem",357835,"384,68,1022",3.0,197966
"67e9b7e4daf4e101ebe986e5",2763387,112783,9.0,10.0,18,362215,2763375,362215,"StoreItem","CharredFishItem",2763375,"746,76,1452",5.0,197206
"67e9b7e6daf4e101ebe98709",495863,112783,179.899993896,257.0,19,482191,482191,482551,"StoreItem","FiddleheadsItem",482551,"857,72,108",5.0,197469
"67e9b7ecdaf4e101ebe98782",512007,112783,8.600000381,172.0,18,801828,492066,801828,"StoreItem","WoodPulpItem",492066,"1492,72,93",6.0,195827
"67e9b7f2daf4e101ebe987f1",2332569,112783,250.0,1.0,19,362231,362231,2332561,"StoreItem","LargeCanoeItem",2332561,"788,72,629",2.0,195369
"67e9b82fdaf4e101ebe98c78",919086,112783,2.5,5.0,19,552247,552247,919078,"StoreItem","TaroRootItem",919078,"300,66,498",12.0,197255
"67e9b884daf4e101ebe99514",1603840,112783,34.0,40.0,18,510847,1603828,510847,"StoreItem","MortaredLimestoneItem",1603828,"731,72,722",13.0,197511
"67e9b892daf4e101ebe9967c",2975216,112783,3.5,1.0,18,362207,2975207,362207,"StoreItem","ToppedPorridgeItem",2975207,"1423,71,108",5.0,195335
"67e9b8b2daf4e101ebe99947",2398663,112783,22.399999619,32.0,18,539012,2398655,539012,"StoreItem","CharredMushroomsItem",2398655,"1588,69,42",1.0,195316
"67e9b8b7daf4e101ebe99986",830295,112783,160.0,2.0,18,495855,830287,495855,"StoreItem","GardenPondItem",830287,"914,69,155",1.0,195321
"67e9b8dbdaf4e101ebe99d2b",457462,112783,16.0,64.0,19,362211,362211,360638,"StoreItem","LimestoneItem",360638,"1418,72,73",1.0,195358
"67e9b96fdaf4e101ebe9ac7c",457463,112783,123.75,99.0,18,1271484,362203,1271484,"StoreItem","HuckleberriesItem",362203,"834,79,186",8.0,197096
"67e9ba26daf4e101ebe9be4b",501484,112783,63.0,21.0,18,482191,501476,482191,"StoreItem","BeetCampfireSaladItem",501476,"857,72,108",2.0,195692
"67e9ba35daf4e101ebe9bfc1",541340,112783,98.0,392.0,18,481471,353194,481471,"StoreItem","MortarItem",353194,"1458,75,1373",8.0,197926
"67e9ba38daf4e101ebe9c003",526279,112783,2.0,20.0,19,592596,592596,526270,"StoreItem","ShaleItem",526270,"1371,72,597",9.0,197996
"67e9ba42daf4e101ebe9c0c5",482088,112783,50.0,2.0,18,494426,482080,494426,"StoreItem","ButcheryTableItem",482080,"1272,69,1264",5.0,196615
"67e9ba9adaf4e101ebe9c7b2",542529,112783,40.0,2.0,18,529366,542521,529366,"StoreItem","CulinaryResearchPaperBasicItem",542521,"1426,68,667",7.0,196259
"67e9bae7daf4e101ebe9cdf9",1615851,112783,12.0,2.0,18,1364573,1604445,1364573,"StoreItem","BighornCarcassItem",1604445,"1461,71,661",12.0,197792
"67e9baeddaf4e101ebe9ce5a",1486697,112783,17.400001526,3.0,18,362207,1486689,362207,"StoreItem","FernCampfireSaladItem",1486689,"1423,71,108",9.0,197986
"67e9bafadaf4e101ebe9cf4b",913462,112783,500.0,4.0,18,481271,913454,481271,"StoreItem","ClaimPaperItem",913454,"825,71,846",3.0,196352
"67e9bb75daf4e101ebe9d8db",884545,112783,570.0,57.0,19,362211,362211,506132,"StoreItem","GeologyResearchPaperBasicItem",506132,"818,71,771",5.0,197523
"67e9bb82daf4e101ebe9da89",664829,112783,165.0,11.0,18,3130948,508064,3130948,"StoreItem","WoodenHullPlanksItem",508064,"746,72,1422",4.0,197544
"67e9bbfadaf4e101ebe9e51e",624418,112783,555.0,37.0,19,362211,362211,624410,"StoreItem","CulinaryResearchPaperBasicItem",624410,"818,71,771",6.0,196762
"67e9bc51daf4e101ebe9eb7b",484915,112783,1.600000024,2.0,19,1786104,1786104,484905,"StoreItem","TomatoItem",484905,"1201,76,511",4.0,196260
"67e9bc82daf4e101ebe9ee89",481716,112783,15.0,1.0,18,3130948,481706,3130948,"StoreItem","WoodenHullPlanksItem",481706,"746,72,1422",11.0,197640
"67e9bcaddaf4e101ebe9f181",1583058,112783,80.0,20.0,18,356337,362231,356337,"StoreItem","BeetCampfireSaladItem",362231,"554,71,811",4.0,196343
"67e9bcd5daf4e101ebe9f458",816562,112783,5.0,1.0,18,362203,816554,362203,"StoreItem","FriedCamasItem",816554,"813,71,731",2.0,196795
"67e9bcf4daf4e101ebe9f6e5",484747,112783,110.0,2.0,18,507824,484739,507824,"StoreItem","IceboxItem",484739,"306,67,533",4.0,197311
"67e9bd30daf4e101ebe9fbae",791896,112783,24.0,15.0,18,357835,791888,357835,"StoreItem","HewnLogItem",791888,"525,71,783",12.0,197856
"67e9bdf9daf4e101ebea0c67",483922,112783,90.0,1.0,18,111758,483914,111758,"StoreItem","ClaimPaperItem",483914,"1461,71,68",2.0,196709
"67e9be66daf4e101ebea1491",707623,112783,51.299999237,19.0,18,555551,707615,555551,"StoreItem","ToppedPorridgeItem",707615,"866,66,849",1.0,196776
"67e9bebbdaf4e101ebea1c4a",483892,112783,40.600002289,7.0,18,362207,483887,362207,"StoreItem","FernCampfireSaladItem",483887,"1423,71,108",2.0,196878
"67e9befcdaf4e101ebea219c",852031,112783,144.0,120.0,19,487523,487523,852023,"StoreItem","MortaredStoneItem",852023,"1231,66,585",2.0,197674
"67e9bf6bdaf4e101ebea2b08",734604,112783,195.0,3.0,18,111401,734595,111401,"StoreItem","MortaredStoneFireplaceItem",734595,"1332,72,578",3.0,197037
"67e9bfdddaf4e101ebea3c82",1635518,112783,80.0,4.0,19,734595,734595,1635510,"StoreItem","WoodenHullPlanksItem",1635510,"221,71,542",3.0,197953
"67e9c007daf4e101ebea3fbb",495863,112783,20.0,5.0,18,482191,482719,482191,"StoreItem","BannockItem",482719,"857,72,108",3.0,197754
"67e9c05cdaf4e101ebea45ce",356345,112783,100.800003052,84.0,18,362231,356337,362231,"StoreItem","RawSausageItem",356337,"788,72,629",4.0,197684
"67e9c2a0daf4e101ebea715b",482702,112783,25.0,1.0,18,542989,482683,542989,"StoreItem","DendrologyResearchPaperBasicItem",482683,"1441,66,848",1.0,197858
"67e9c2dadaf4e101ebea75d5",627830,112783,7.500000477,25.0,19,899423,899423,627822,"StoreItem","CrushedGraniteItem",627822,"122,66,208",3.0,197948
"67e9c341daf4e101ebea7c9b",482702,112783,20.0,20.0,18,928908,482683,928908,"StoreItem","HeartOfPalmItem",482683,"97,67,882",2.0,198019
